NumberSimple,Name,Year,depth_index,Coded,HBType,HBTypeCode,WTOType,TypeMemb,3rdCountryName_1st,3rdCountryCode_1st,3rdCountryName_2nd,3rdCountryCode_2nd,NorthSouth,RegionCon,TypeDepth,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91
60,Armenia Ukraine,1994,,1,FTA,2,FTA,1,,,,,3,6,2,51,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Arusha Agreement II,1969,,1,PTA_PSA,1,FTA,4,,,,,3,6,1,56,250,276,380,442,528,404,834,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Asia Pacific Trade Agreement (Bangkok Agreement amended),2005,,1,,,,2,,,,,3,2,1,50,156,356,410,418,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Association of Caribbean States,1994,,1,,,,2,,,,,3,4,5,28,44,52,84,188,170,192,212,214,222,308,328,320,332,340,388,558,591,659,662,670,740,780,484,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Association of Southeast Asian Nations (ASEAN) FTA,1992,,1,FTA,2,FTA,2,,,,,3,2,2,96,360,458,608,702,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA),1977,,1,PTA_PSA,1,,2,,,,,3,2,1,360,458,608,702,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Association of Southeast Asian Nations Australia New Zealand FTA (AANZFTA),2009,,1,,,FTA_EIA,4,,,,,2,6,2,96,116,360,418,458,104,608,702,764,704,36,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Association of Southeast Asian Nations China,2004,,1,FTA,2,PTA_EIA,3,China,156,,,3,2,2,96,116,360,418,458,104,608,702,764,704,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Association of Southeast Asian Nations China Services,2007,,1,,,,3,China,156,,,3,2,4,96,116,360,418,458,104,608,702,764,704,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Association of Southeast Asian Nations Goods,2009,,1,,,,2,,,,,3,2,2,96,116,360,418,458,104,608,702,764,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
